have;v. có
make;v. làm, tạo

light;adj. sáng sủa
catch;v. bắt lấy, nắm lấy
save;v. tiết kiệm, cứu
come;v. đến, tới
emotion;n. tình cảm, cảm xúc
keep;v. giữ, duy trì
family;n. gia đình
get;v. có được, nhận được
take</b>: <i>cầm, lấy, giữ</i><br/><a href="https://audio.tflat.vn/audio/t/a/take-v.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_a_shower1.jpg" alt="take a shower"/><div><p><b style="color: #337ab7;">take a shower</b>: <i>tắm vòi sen </i><br/><a href="https://audio.tflat.vn/audio/t/a/take_a_shower.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ə ˈʃaʊə/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_a_breath1.jpg" alt="take a breath"/><div><p><b style="color: #337ab7;">take a breath</b>: <i>hít hơi</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_a_breath.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ə brɛθ/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_the_bus1.jpg" alt="take the bus"/><div><p><b style="color: #337ab7;">take the bus</b>: <i>đi xe buýt</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_the_bus.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ðə bʌs/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_a_nap1.jpg" alt="take a nap"/><div><p><b style="color: #337ab7;">take a nap</b>: <i>ngủ giấc ngắn</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_a_nap.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ə nap/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_notes1.jpg" alt="take notes"/><div><p><b style="color: #337ab7;">take notes</b>: <i>ghi chú</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_notes.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk nəʊts/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_a_walk1.jpg" alt="take a walk"/><div><p><b style="color: #337ab7;">take a walk</b>: <i>đi bộ</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_a_walk.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ə wɔːk/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_the_medicine1.jpg" alt="take the medicine"/><div><p><b style="color: #337ab7;">take the medicine</b>: <i>uống thuốc</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_the_medicine.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ðə ˈmɛdɪsɪn/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_action1.jpg" alt="take action"/><div><p><b style="color: #337ab7;">take action</b>: <i>hành động</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_action.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ˈakʃ(ə)n/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_an_exam1.jpg" alt="take an exam"/><div><p><b style="color: #337ab7;">take an exam</b>: <i>làm kiểm tra</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_an_exam.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ən ɪɡˈzam/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_a_photo1.jpg" alt="take a photo"/><div><p><b style="color: #337ab7;">take a photo;v. phr. chụp ảnh
give;v. đưa, trao, cho
take</b>: <i>cầm, lấy, giữ</i><br/><a href="https://audio.tflat.vn/audio/t/a/take-v.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_advantage_of1.jpg" alt="take advantage of"/><div><p><b style="color: #337ab7;">take advantage of</b>: <i>tận dụng lợi thế</i><br/><a href="https://audio.tflat.vn/audio/t/a/take_advantage_of.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /teɪk ədˈvɑːntɪdʒ əv/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/t/a/take_care_of1.jpg" alt="take care of"/><div><p><b style="color: #337ab7;">take care of;v. phr. trông nom, chăm sóc
home;n. nhà,gia đình
job;n. công việc, nghề nghiệp
