accept;v. nhận, chấp nhận
accommodation;n. chỗ ăn ở
address;v. nhằm vào, trình bày
administration;n. việc, sự quản trị, điều hành
admit;v. thừa nhận, cho vào
advantage;n. lợi thế, thuận lợi
advertising;n. hoạt động, ngành quảng cáo
advice;n. lời khuyên
agent;n. đại lý
agreement;n. sự đồng ý, thỏa thuận với nhau
appointment;n. cuộc hẹn, sự hẹn gặp
arise;v. nảy sinh, phát sinh
assessment;n. sự đánh giá
background;n. kiến thức, kinh nghiệm
benefit;n. lợi ích
binding;adj. bắt buộc, ràng buộc
body language;n. ngôn ngữ cơ thể
boss;n. chủ
budget;n. ngân sách, ngân quỹ
business;n. kinh doanh
business card;n. danh thiếp
buy;v. mua
call;v. gọi, gọi điện thoại
candidate;n. ứng cử viên, thí sinh, người dự tuyển
capital;n. thủ đô
career;n. nghề nghiệp, sự nghiệp
carry;v. mang, vác, chở, ẳm
category;n. loại, hạng
change;v. thay đổi
charge;v. tính phí
chart;n. biểu đồ (hint :c...)
check;v. kiểm tra
choose;v. chọn, chọn lựa
claim;v. đòi, đòi quyền, nhận là, tự cho là
clause;n. điều khoản (trong văn bản pháp luật)
client;n. khách, khách hàng
colleague;n. đồng nghiệp
comment;n. lời phê bình, lời nhận xét
commercial;adj. (thuộc) buôn bán, thương mại
commission;n. tiền hoa hồng
commitment;n. sự tận tâm
company;n. công ty
comparison;n. sự so sánh
competition;n. cuộc thi
competitive;adj. tính cạnh tranh, đua tranh
condition;n. điều kiện, tình trạng
conference;n. hội nghị
conflict;n. cuộc xung đột
consumer;n. người tiêu dùng
contract;n. hợp đồng
contribution;n. sự đóng góp
convention;n. quy ước
corporate;adj. thuộc, của công ty, tập đoàn
corporation;n. tập đoàn, công ty lớn
correction fluid;n. bút xóa, bút tẩy
cost;v,n. có giá là, chi phí
credit;n. tín dụng
culture;n. văn hóa (của một nhóm hoặc tổ chức)
currency;n. tiền, hệ thống tiền tệ
customer;n. khách hàng (người mua hàng hóa hoặc dịch vụ)
database;n. cơ sở dữ liệu
deal;n. sự giao dịch
debt;n. nợ, món nợ
decide;v. quyết định
decision;n. quyết định
degree;n. bằng cấp
delivery;n. sự giao hàng, sự phân phối
demand;n. nhu cầu
department;n. phòng, ban, bộ
develop;v. phát triển
director;n. giám đốc
discuss;v. thảo luận, tranh luận (một vấn đề gì)
dismiss;v. sa thải
dispute;n. cuộc tranh luận, cuộc tranh chấp
distribution;n. sự phân phối 
draft;n. bản nháp
draw;v. vẽ
duty;n. bổn phận, nhiệm vụ
earnings;n. tiền kiếm được, thu nhập
economics;n. môn kinh tế
economy;n. nền kinh tế
efficiency;n. hiệu suất cao, năng suất cao, sự hiệu quả
employee;n. nhân viên, người lao động
employer;n. chủ, người sử dụng lao động
employment;n. công việc làm
encourage;v. khuyến khích, động viên
enquiry;n. sự hỏi thêm thông tin, sự vấn tin
enterprise;n. hãng, công ty, xí nghiệp
environment;n. môi trường
equipment;n. thiết bị
equivalent;adj. tương đương
establish;v. thành lập, thiết lập
estimate;v. ước lượng
even;adj. huề vốn
exchange;v. trao đổi
executive;n. người điều hành (công ty, tổ chức,...)
expectation;n. sự mong chờ, sự trông đợi
expenditure;n. sự chi tiêu, phí tổn
expense;n. chi phí
export;v. xuất khẩu
extend;v. gia hạn, kéo dài (thời hạn...)
extraordinary;adj. lạ thường, khác thường
facility;n. cơ sở vật chất, trang thiết bị
factory;n. nhà máy, xí nghiệp
fall;n. mùa thu
figure;n. con số
finance;n. tài chính
fire;n. lửa
flip chart;n. bảng kẹp giấy
formal;adj. trang trọng, nghi thức
forward;v. phía trước
function;n. chức năng, nhiệm vụ
fund;n. quỹ (tiết kiệm hoặc dùng cho một hoạt động cụ thể)
goal;n. mục đích, mục tiêu
goods;n. hàng hóa (hint :g...)
growth;n. sự tăng trưởng
handle;v. xử lí, giải quyết
headquarters;n. trụ sở chính
hire;v. thuê, mướn, tiền trả công
holiday;n. ngày lễ
import;v. nhập khẩu
impression;n. ấn tượng, cảm tưởng
improve;v. tốt lên
inbox;n. hộp thư đến
income;n. thu nhập
increase;v. tăng
industry;n. công nghiệp, ngành công nghiệp
inflation;n. lạm phát
instruction;n. lời chỉ dẫn, hướng dẫn
insurance;n. bảo hiểm
interest;n. sở thích
interview;n. cuộc phỏng vấn
inventory;n. ‹sự/bản› kiểm kê hàng hóa 
investment;n. sự đầu tư
issue;n. vấn đề
item;n. khoản, món, mục, mặt hàng
job;n. công việc, nghề nghiệp
job satisfaction;n. sự thỏa mãn về công việc
join;v. tham gia (hint :j...)
key;adj. chìa khóa
label;n. dán nhãn, ghi nhãn
labour;n. công việc, nhất là công việc chân tay
launch;v. phát động, khởi động
leading;adj. hàng đầu, chính, quan trọng
leave;v. khởi hành, rời khỏi
legal;adj. (thuộc về) pháp luật, pháp lí
liability;n. nguy cơ, điều gây khó khăn trở ngại
limit;n. giới hạn, hết hạn dùng
loan;n. khoản vay
loss;n. sự mất mát
lunch;n. bữa trưa
maintain;v. duy trì
manage;v. quán lý, điều hành
management;n. (sự) quản lý, quản trị
manual;n. sách hướng dẫn sử dụng, sổ tay
manufacturer;n. nhà sản xuất
market;n. thị trường, chợ, nơi mua bán sản phẩm...
marketing;n. ngành tiếp thị
maternity leave;n. thời gian nghỉ sinh
measure;v. đo
meeting;n. buổi họp
