1	afraid	a__ __ __ __d	Sợ hãi			[ə'freɪd]	When someone is {{c1::afraid}}, they feel fear.→  The woman was {{c1::afraid}} of what she saw.			afraid /ə'freid/   tính từ  sợ, hãi, hoảng, hoảng sợ  we are not afraid of dificulties: chúng ta không sợ khó khăn to be afraid of someone: sợ ai; ngại lấy làm tiếc I am afraid I can not lend you the book: tôi lấy làm tiếc không cho anh mượn quyển sách đó được I'm afraid [that] it will happen: tôi e rằng việc đó sẽ xảy ra
2	agree	a__ __ __ __	Đồng ý			[ə'griː]	To {{c1::agree}} is to say “yes” or to think the same way.→  A: The food is very good in that restaurant.       B: I {{c1::agree}} with you.			agree /ə'gri:/   nội động từ  đồng ý, tán thành, bằng lòng, thoả thuận  to agree go proposal: tán thành một lời đề nghị to agree with someone: đồng ý với ai  hoà thuận  they can't agree: họ không thể sống hoà thuận với nhau được  hợp với, phù hợp với, thích hợp với  this food does not agree with me: thức ăn này không thích hợp với tôi  (ngôn ngữ học) hợp (về cách, giống, số...)    ngoại động từ  cân bằng (các khoản chi thu...)  agreed!  đồng ý!, tán thành!  to agree like cats and dogs  sống với nhau như chó với mèo  to agree to differ  (xem) differ
3	angry	a__ __ __y	Tức giận			['æŋgrɪ]	When someone is {{c1::angry}}, they may want to speak loudly or fight.→  She didn’t do her homework, so her father is {{c1::angry}}.			tính từ  giận, tức giận, cáu  to be (get) angry with (at) someone: tức giận ai to be (get) angry at (about) something: tức giận về cái gì to make someone angry: làm cho ai tức giận, chọc tức ai  nhức nhối, viêm tấy (vết thương)  hung dữ, dữ  angry winds: gió dữ angry waves: sóng dữ
4	arrive	a__ __ __ __e	Đến, tới nơi			[ə'raɪv]	To {{c1::arrive}} is to get to or reach some place.→  The bus always {{c1::arrive}}s at the corner of my street at 4:00.			arrive /ə'raiv/   nội động từ  (+ at, in) đến, tới nơi; xảy đến  đi đến, đạt tới  to arrive at a conclusion: đi tới một kết luận to arrive at perfection: đạt tới chỗ toàn thiện  thành đạt
5	attack	a__ __ __ __k	Tấn công			[ə'tæk]	To {{c1::attack}} is to try to fight or to hurt.→  The man with the sword {{c1::attack}}ed the other man first.			attack /ə'tæk/   danh từ  sự tấn công, sự công kích  to make an attack on enemy positions: tấn công các vị trí địch  cơn (bệnh)  an attack of fever: cơn sốt a heart attack: cơn đau tim   ngoại động từ  tấn công, công kích  bắt đầu, bắt tay vào, lao vào (công việc)  to attack a task: bắt tay vào việc, lao vào việc  ăn mòn (axit)  strong acids attack metals: axit mạnh ăn mòn kim loại  nhiễm vào (bệnh tật)    nội động từ  tấn công, bắt đầu chiến sự
6	bottom	b__ __ __ __m	phần dưới cùng; đáy			['bɔtəm]	The {{c1::bottom}} is the lowest part.→  The {{c1::bottom}} of my shoe has a hole in it.			danh từ  phần dưới cùng; đáy  at the bottom of the street: ở cuối phố the bottom of a page: cuối trang the bottom of a glass: đáy cốc to sink to the bottom: chìm xuống đáy (biển) from the bottom of one's heart: tự đáy lòng  (hàng hải) bụng tàu; tàu  mặt (ghế)  đít  to kick someone's bottom: đá đít người nào to fall on one's bottom: ngã phệt đít xuống  cơ sở; ngọn nguồn  to get to the bottom of a mystery: tìm hiểu ngọn nguồn của một điều bí ẩn  bản chất  to be a good man at bottom: bản chất là người tốt  sức chịu đựng, sức dai  a horse of good bottom: con ngựa dai sức  to knock the bottom out of an argument  bẻ gãy một lý lẽ  to stand on one's own bottom  tự lập không nhờ vả ai  tính từ  cuối, cuối cùng, thấp nhất  bottom price: giá thấp nhất  căn bản  to bet one's bottom dollar  dốc túi đánh cược  ngoại động từ  làm đáy (thùng, xoong...)  đóng mặt (ghế)  mò xuống tận đáy; ((nghĩa bóng)) xem xét kỹ lưỡng (một vấn đề)  (bottom upon) căn cứ vào, dựa trên    nội động từ  chạm đáy
7	clever	c__ __ __ __r	Thông minh			['klevə]	When someone is {{c1::clever}}, they can solve a hard puzzle or problem.→  The {{c1::clever}} boy thought of a good idea.			clever   clever /'klevə/   tính từ  lanh lợi, thông minh  giỏi, tài giỏi, khéo léo, lành nghề  a clever workman: thợ giỏi  thần tình, tài tình, hay; khôn ngoan, lâu  a clever parody: một bài thơ nhại tài tình a clever speech: một bài nói hay a clever scheme: mưu đồ thần tình  (từ Mỹ,nghĩa Mỹ), (thông tục) tốt bụng, tử tế
8	cruel	c__ __ __l	Độc ác			['kruːəl], [kruəl]	When someone is {{c1::cruel}}, they do bad things to hurt others.→  The {{c1::cruel}} man yelled at his sister.			cruel   cruel /'kruili/   tính từ  độc ác, dữ tợn, hung ác, ác nghiệt, tàn ác, tàn bạo, tàn nhẫn  cruel fate: số phận phũ phàng  hiểm nghèo, tàn khốc, thảm khốc  a cruel disease: cơn bệnh hiểm nghèo a cruel war: cuộc chiến tranh tàn khốc a cruel death: cái chết thảm khốc
9	finally	f__ __ __ __ __y	Sau cùng			['faɪn(ə)lɪ]	If something happens {{c1::finally}}, it happens after a longtime or at the end.→  He {{c1::finally}} crossed the finish line after five hours of running.			finally   finally /'fainəli/   phó từ  cuối cùng, sau cùng  dứt khoátto settle a matter finally: giải quyết dứt khoát một vấn đề
10	hide	h__ __ __	Trốn, ẩn nấp			[haɪd]	To {{c1::hide}} is to try not to let others see you.→  The other children will {{c1::hide}} while you count to 100.			hide   hide /haid/   nội động từ hidden, hid  trốn, ẩn nấp, náu    ngoại động từ  che giấu, che đậy, giấu giếm; giữ kín (một điều gì)  che khuất  to hide one's head  giấu mặt đi vì xấu hổ, xấu hổ vì không dám ló mặt ra  not to hide one's light (candle) under a bushel  (xem) bushel
11	hunt	h__ __ __	Săn bắn			[hʌnt]	To {{c1::hunt}} is to look for or search for an animal to kill.→  Long ago, people {{c1::hunt}}ed with bows and arrows.			danh từ  cuộc đi săn; sự đi săn  cuộc lùng sục, cuộc tìm kiếm  to find somebody after a long hunt: tìm thấy ai sau khi đã đi tìm một thời gian dài to have a hunt for a job: đi tìm việc làm  đoàn người đi săn  khu vực săn bắn    nội động từ  săn bắn  (+ after, gor) lùng, tìm kiếm  to hunt for old furniture: lùng mua đồ gỗ cũ to hunt for someone: tìm kiếm ai   ngoại động từ  săn, săn đuổi  to hunt big gam: săn thú lớn  lùng sục để săn đuổi, lùng sục để tìm kiếm  to hunt the whole district for game: lùng sục khắp vùng để săn thú  dùng (ngựa, chó săn) để đi săn  (từ Mỹ,nghĩa Mỹ) bắn (thú săn)  to hunt down  dồn vào thế cùng  lùng sục, lùng bắt  to hunt down a criminal: lùng bắt một kẻ phạm tôi  to hunt out  lùng đuổi, đuổi ra  tìm ra, lùng ra  to hunt up  lùng sục, tìm kiếm  to hunt in couples  (xem) couple
12	lot	l__ __	Mớ, lô, nhiều			[lɔt]	A {{c1::lot}} means a large number or amount of people, animals, things, etc.→  There are a {{c1::lot}} of apples in the basket.			danh từ  mảnh, lô (đất)  a lot of ground: một mảnh đất, một lô đất parking lot: khu đất đỗ xe, chỗ đỗ xe  mớ, lô; (số nhiều) rất nhiều, vô số, hàng đống, hàng đàn  lot of woollens: một lô hàng len the lot: cả lô, cả mớ, cả bọn lots of friends: rất nhiều bạn, hàng đống bạn  ngoại động từ  chia ra làm nhiều phần, chia ra làm nhiều mảnh, chia ra làm nhiều lô (đất, hàng để bán)  (từ Mỹ,nghĩa Mỹ), (thông tục) trông non, trông cậy (ở ai, cái gì)  to lot on (upon) somebody: trông mong ở ai   phó từ  nhiều, vô số  I feel a lot better: tôi cảm thấy khoẻ hơn nhiều
13	middle	m__ __ __ __e	giữa, ở giữa			['mɪdl]	The {{c1::middle}} of something is the center or halfway point.→  The Canadian flag has a maple leaf in the {{c1::middle}} of it.			middle   middle /'midl/   danh từ  giữa  in the middle: ở giữa right in the middle: ở chính giữa in the middle of our century: ở giữa thế kỷ của chúng ta   tính từ  ở giữa, trung  the middle finger: ngón tay giữa middle age: trung niên  the Middle Ages  thời Trung cổ  the middle class: giai cấp trung gian; giai cấp tiểu tư sản  Middle East  Trung đông  middle course (way): biện pháp trung dung, đường lối trung dung  ngoại động từ  đá (bóng) từ cánh vào (khu trung lộ trước gôn)  (từ Mỹ,nghĩa Mỹ) đặt vào giữa  xếp đôi (lá buồm lại)
14	moment	m__ __ __ __t	Khoảnh khắc, chốc lát			['məumənt]	A {{c1::moment}} is a second or a very short time.→  I was only a few {{c1::moment}}s late for the meeting.			moment /'moumənt/   danh từ ((thông tục) (cũng) mo)  chốc, lúc, lát  wait a moment: đợi một lát at any moment: bất cứ lúc nào the [very] moment [that]: ngay lúc mà at the moment: lúc này, bây giờ at that moment: lúc ấy, lúc đó  tầm quan trọng, tính trọng yếu  an affair of great moment: một việc đó có tầm quan trọng lớn a matter of moment: một vấn đề quan trọng  (kỹ thuật), (vật lý) Mômen
15	pleased	p__ __ __ __ __d	Hài lòng			[pliːzd]	When someone is {{c1::pleased}}, they are happy.→  She was {{c1::pleased}} with the phone call she received.			pleased   pleased   tính từ  hài lòng (thể hiện sự thoả mãn về ai/cái gì)  (+to do something) sẵn lòng, vui mừng, vui vẻ được làm cái gì
16	promise	p__ __ __ __ __e	Hứa hẹn, lời hứa			['prɔmɪs]	To {{c1::promise}} is to say you will do something for sure.→  He {{c1::promised}} to return my key by tomorrow.			promise   promise /promise/   danh từ  lời hứa, điều hứa, điều hẹn ước; sự hứa hẹn  to keep to one's promise: giữ lời hứa to break one's promise: không giữ lời hứa, bội ước promise of marriage: sự hứa hôn empty promise: lời hứa hão, lời hứa suông  (nghĩa bóng) triển vọng, hứa hẹn  a young man of promise: một thanh niên có triển vọng  land of promise  chốn thiên thai, nơi cực lạc  động từ  hứa, hứa hẹn, hẹn ước  to promise someone something; to promise something to someone: hứa hẹn ai việc gì this year promises good crops: năm nay hứa hẹn được mùa  làm cho hy vọng; báo hiệu, báo trước  the clouds promise rain: mây nhiều báo hiệu trời mưa  (thông tục) đảm bảo, cam đoan  I promise you, it will not be so easy: tôi cam đoan với anh, chuyện ấy sẽ không dễ thế đâu
17	reply	r__ __ __ __  r__ __ __ __ __d	đáp lại, trả  lời			[rɪ'plaɪ]	To {{c1::reply}} is to give an answer or say back to someone.→  She asked him what time his meeting was. He {{c1::replied}}, “at three.”			reply /ri'plai/   danh từ  câu trả lời, lời đáp  in reply to your letter: để trả lời thư của ông to say in reply: đáp lại   động từ  trả lời, đáp lại  to reply for somebody: trả lời thay cho ai to reply to the enemy's fire: bắn trả quân địch
