nor;adv. và cũng không
occupied;adj. bận rộn
press;v. ấn, nhấn
surprised;adj. ngạc nhiên
tenth;ordinal no. thứ mười
vacation;n. kỳ nghỉ
way;n. cách thức, phương pháp
whenever;conj. bất cứ khi nào
wood;n. gỗ
wooden;adj. làm bằng gỗ
write;v. viết
zone;n. vùng, khu vực (có một đặc trưng nào đó)
CD;n. viết tắt của từ "compact disc" - đĩa CD
actually;adv. thực sự (hint: a..)
adult;n. người lớn, người đã trưởng thành
asleep;adj. ngủ, đang ngủ
coat;n. áo choàng
confused;adj. bối rối
continent;n. châu lục, lục địa
discipline;n. kỷ luật
dressed;adj. có mặc áo quần
explore;v. khảo sát, thăm dò, khám phá
firm;n. hãng, công ty
hers;prop. của cô (bà, chị,...) ấy
hungry;adj. đói bụng
interesting;adj. thú vị
knot;n. nút thắt
labour;n. công việc, nhất là công việc chân tay
least;adv. ít nhất
local;adj. mang tính địa phương
logic;n. cách suy nghĩ, giải thích điều gì
near;prep. gần
observe;v. quan sát, theo dõi
outline;n. đề cương, dàn bài
provided;conj. với điều kiện là, miễn sao là
relationship;n. mối quan hệ, mối liên hệ
routine;n. thói quen adj. theo thường lệ
row;n. hàng (ngang), hàng lối
shade;n. bóng râm
silence;n. sự im lặng, sự trầm lặng
accidental;adj. tình cờ
based;adj. được dựa trên
boil;v. đun sôi, luộc
carry;v. thực hiện
cease;v. dừng, ngừng
court;n. tòa án
dear;adj. thân, thân mến
edition;n. ấn bản, bản in
email;v. thư điện tử
exist;v. tồn tại, sống
forgive;v. tha thứ
house;n. ngôi nhà
invitation;n. lời mời
mention;v. nói đến, đề cập đếm, đề xuất
naked;adj. trần truồng
obey;v. tuân thủ
outside;adv. bên ngoài
penny;n. (đơn vị tiền tệ, đồng xu ở Anh, £1 = 100 pence)
pleasant;adj. dễ chịu
plus;prep. cộng thêm
salad;n. rau sống
sleep;n. sự, giấc ngủ
someone;pron. ai đó, người nào đó
tourist;n. khách du lịch
traveller;n. người lữ khách, người du hành, du khách
unnecessary;adj. không cần thiết
video;n. băng video, đầu máy video
warmth;n. sự ấm áp, hơi ấm
wound;n. vết thương
achievable;adj. có thể đạt được, thực hiện được
annually;adv. hàng năm, từng nằm, thường niên (yearly)
basis;n. nền tảng, cơ sở, căn cứ
bitterly;adv. một cách đau buồn, tức giận
freely;adv. một cách tự do
hollow;adj. lõm vào, trống rỗng
informal;adj. thân mật, không trang trọng
leaf;n. lá cây
mobile;adj. di động, lưu động
oil;n. dầu, dầu mỏ
owe;v. nợ, mắc nợ, mang ơn
ridiculous;adj. lố bịch, ngu ngốc, vô lí
school;n. trường học
singer;n. ca sĩ
south;adv. phía nam
strictly;adv. ‹một cách› nghiêm ngặt, nghiêm khắc
surroundings;n. môi trường xung quanh
target;n. mục tiêu, mục đích
tend;v. có xu hướng, có khuynh hướng, thường
text;n. văn bản, nội dung
tightly;adv. một cách chặt chẽ, sít sao
tin;n. thiếc
transparent;adj. trong suốt
truth;n. sự thật, chân lý
use;v. sử dụng, dùng
whistle;v. huýt sáo
wire;n. dây điện, dây kim loại
wool;n. len
I;pron. tôi, mình, tớ
June;n. tháng Sáu
aim;v. nhắm, mục đích, hướng tới
attack;v. tấn công
best;n. tốt nhất
briefly;adv. trong chốc lát
call;v. gọi, gọi điện thoại
cat;n. mèo, con mèo
earth;n. thế giới, trái đất
example;n. thí dụ
fit;v. hợp, vừa
fully;adv. hoàn toàn (hint: f...)
law;n. luật
lie;v. nằm, nằm nghỉ
passport;n. hộ chiếu
piano;n. đàn pi-a-nô
product;n. sản phẩm
reject;n. đồ thừa, đồ bỏ, phế phẩm
rented;adj. được thuê
reply;v. trả lời, đáp lại 
site;n. địa điểm
suit;v. phù hợp với, thích hợp với
time;n. thời gian
tree;n. cây
well;n. cái giếng
wounded;adj. bị thương
ago;adv. trước đây, trước (thì quá khứ đơn)
alcoholic;n. kẻ nghiện rượu
