and;conj. và
associated;adj. có liên quan
autumn;n. mùa thu
chicken;n. gà, thịt gà
claim;v. đòi, đòi quyền, nhận là, tự cho là
counter;n. kệ bếp, quầy tính tiền
determination;n. sự quyết tâm
domestic;adj. nội địa
driver;n. người lái xe (ô tô)
editor;n. biên tập viên
faint;v. ngất xỉu
fund;n. quỹ (tiết kiệm hoặc dùng cho một hoạt động cụ thể)
future;n. tương lai
happy;adj. hạnh phúc, vui vẻ
herself;prop. chính cô ta
morning;n. sáng
nowhere;adv. không nơi nào, không ở đâu
pack;n. túi chườm
pair;n. cặp, đôi
polish;n. chất đánh bóng
pour;v. đổ, rót
presumably;adv. có lẽ
reader;n. sách đọc thêm (phục vụ việc học ngôn ngữ)
ruined;adj. bị hủy hoại, phá hỏng
seal;n. con hải cẩu
shelf;n. giá sách
spite;n. sự ác ý
squeeze;n. sự ép, vắt, nén
stressed;adj. rất lo lắng, mệt mỏi
student;n. học sinh, sinh viên
always;adv. luôn luôn
breakfast;n. bữa ăn sáng, điểm tâm
computer;n. máy vi tính
convert;v. chuyển đổi
devoted;adj. tận tâm
ensure;v. bảo đảm
excitement;n. sự hào hứng, phấn khích
export;v. xuất khẩu
fire;n. lửa
highway;n. đường cao tốc, quốc lộ
ice;n. nước đá
level;n. cấp, cấp bậc, trình độ
location;n. vị trí
loosely;adv. lỏng, lỏng lẻo (nghĩa bóng)
never;adv. chưa bao giờ
political;adj. liên quan đến chính phủ, nhà nước
regular;adj. đều đều, không thay đổi, thường lệ
reward;n. tiền thưởng, vật thưởng (làm việc chăm chỉ...)
risk;n. nguy cơ, sự nguy hiểm, sự rủi ro
shape;n. hình dáng
soul;n. linh hồn
studio;n. phòng thu
suffer;v. bị, chịu, chịu đựng, khổ sở vì
team;n. đội
thought;n. đã nghĩ
three;cardinal no. số ba
toilet;n. phòng vệ sinh
border;v. tiếp giáp với, giáp với
box;n. hộp
chair;n. ghế tựa
difference;n. sự khác nhau
director;n. giám đốc
excluding;prep. ngoại trừ
fresh;adj. mùi tươi mới
hammer;v. rèn 
height;n. chiều cao, đỉnh cao
improvement;n. sự cải thiện, sự trau dồi (trí tuệ, kiến thức...)
irritated;adj. bực mình, tức giận
load;v. chất hàng
magazine;n. tạp chí
nail;n. móng (tay, chân)
offer;n. đề xuất, đề nghị, chào mời, chào hàng
one;cardinal no. số một
opposing;adj. đối chọi, trái ngược nhau
plan;n. kế hoạch, dự án
pronounce;v. phát âm
properly;adv. một cách phù hợp
prospect;n. viễn cảnh, triển vọng
rightly;adv. đúng đắn, có lí
salt;n. muối
shift;v. chuyển dịch 
stick;v. dính
string;n. sợi dây
