abandon;v. từ bỏ
abstract;n. bài tóm lược (cuốn sách, luận án, bài diễn văn...)
absurd;adj. ngớ ngẩn, lố bịch
accompany;v. đi cùng, hộ tống
accord;n. hiệp định, hiệp ước
acquisition;n. sự giành được, đạt được 
adequate;adj. đầy đủ
adjacent;adj. kế bên, liền kề, sát cạnh
advent;n. sự ra đời, sự xuất hiện
advocate;v. chủ trương, tán thành
aesthetic;adj. (thuộc) mỹ học, thẩm mỹ
allegiance;n. lòng trung thành
alter;v. thay đổi, làm cho cái gì đó thay đổi
ambiguous;adj. đa nghĩa, mơ hồ
anomaly;n. sự không bình thường, dị thường
anonymous;adj. giấu tên, ẩn danh
anticipate;v. đoán trước, liệu trước
apparatus;n. dụng cụ, thiết bị cho một hoạt động
appeal;n. sức hấp dẫn, lôi cuốn
appropriate;adj. thích hợp, thích đáng
apt;adj. thích hợp, đúng với hoàn cảnh
arbitrary;adj. chuyên quyền, độc đoán
artefact;n. vật được người tạo ra, có giá trị về văn hóa hay lịch sử
articulate;v. diễn đạt suy nghĩ, cảm xúc một cách rõ ràng bằng lời
aspect;n. khía cạnh
assert;v. khẳng định, quả quyết
associate;n. cộng tác, đồng sự
asylum;n. nơi tị nạn
atom;n. nguyên tử
attribute;n. đức tính, đặc tính
authentic;adj. đích thực, xác thực
autonomous;adj. tự trị
beneficial;adj. có ích, có lợi
bias;n. thành kiến, thiên vị
bizarre;adj. quái dị
bland;adj. nhạt/ lạt
bleak;adj. ảm đạm, không tươi sáng
bold;adj. dũng cảm, táo bạo
boundary;n. đường biên giới, ranh giới
campaign;n. chiến dịch
cease;v. dừng, ngừng
chronic;adj. kinh niên (y học), ăn sâu
cite;v. trích dẫn
civil;adj. (thuộc) công dân
clarify;v. làm cho sáng sủa, dễ hiểu
clash;n. cuộc đụng độ
coalition;n. liên hiệp, liên minh
coherent;adj. mạch lạc, chặt chẽ
collective;adj. tập thể, chung
commerce;n. thương mại
compatible;adj. tương thích, hợp nhau 
compensate;v. bù, đền bù, bồi thường
competence;n. năng lực, khả năng
complement;v. bổ sung
comprise;v. bao gồm
compulsory;adj. bắt buộc
conceal;v. giấu (người, vật gì đó)
concept;n. khái niệm
conflict;n. cuộc xung đột
conform;v. làm cho phù hợp, làm cho thích hợp
consecutive;adj. liên tiếp
consensus;n. sự đồng thuận, nhất trí
conspicuous;adj. dễ thấy hoặc chú ý, nổi bật
constitute;v. cấu thành, tạo thành, thành lập
contemplate;v. suy ngẫm (về lựa chọn, về cách thức)
contemporary;adj. cùng thời, đương thời
contradictory;adj. mâu thuẫn, trái ngược
controversy;n. tranh cãi, tranh luận
convenient;adj. thuận tiện
conversely;adv. ngược lại
convert;v. chuyển đổi
convey;v. chuyển tải, thể hiện (ý tưởng, cảm xúc đến ai)
correspond;v. trao đổi thư từ
counterpart;n. bên tương ứng
criterion;n. tiêu chuẩn
crucial;adj. cốt yếu, chủ yếu, có tính quyết định
cumulative;adj. tích lũy
curb;n. sự kềm chế, hạn chế
curious;adj. tò mò, thích tìm&nbsp, hiểu
cynical;adj. hoài nghi
debris;n. mảnh vỡ, mảnh vụn
decay;v. thối rữa (thực phẩm), sâu, mục (răng, xương, lá...)
defect;n. khuyết điểm, sai sót
deficit;n. (tài chính) số tiền thiếu hụt (do chi lớn hơn thu), sự thâm hụt
delegate;n. đại biểu
deliberate;adj. thong thả, cố ý, chủ tâm
demise;n. sự chấm dứt, thất bại (của một học viện, ý tưởng, công ty...)
derive;v. xuất phát từ, bắt nguồn từ
detect;v. tìm ra, khám phá ra, nhận thấy
devise;v. nghĩ ra, sáng chế
dictate;v. ra lệnh, sai khiến (thường tạo cảm giác khó chịu)
dilemma;n. tình trạng khó xử
discourse;n. luận văn, đàm luận
discrepancy;n. ‹sự› khác nhau, trái ngược nhau
disposition;n. tính khí
dispute;n. cuộc tranh luận, cuộc tranh chấp
distinct;adj. riêng biệt, khác biệt
distribute;v. phân phối
diversity;n. sự khác biệt, đa dạng
drought;n. nạn hạn hán
dubious;adj. không chắc chắn, nghi ngờ
due;adj. bởi vì
duration;n. khoảng thời gian
elaborate;adj. kỹ lưỡng, công phu, tinh vi
eligible;adj. thích hợp, đủ tư cách, đủ tiêu chuẩn, có thể chọn được
elite;n. nhóm người trong xã hội được xem là quan trọng và có ảnh hưởng nhất bởi quyền lực, tài năng, sự giàu có... của họ
embrace;v. ôm, ôm ấp
emphasize;v. nhấn mạnh, làm nổi bật
encounter;n. cuộc chạm trán (đột ngột, bất ngờ hoặc có bạo lực)
enhance;v. nâng cao, tăng cường
enterprise;n. hãng, công ty, xí nghiệp
enthusiast;n. người say mê
equivalent;adj. tương đương
essential;adj. cần thiết, quan trọng
ethical;adj. (thuộc) đạo đức
exceed;v. vượt trội
exotic;adj. ở nước ngoài đưa vào, kỳ lạ
expenditure;n. sự chi tiêu, phí tổn
exploit;v. khai thác, bóc lột
exposure;n. phơi sáng
