access;n. quyền truy cập, sự tiếp cận 
account;n. tài khoản
achievement;n. thành tích, thành tựu
address;v. nhằm vào, trình bày
agent;n. đại lý
aid;v. hỗ trợ, giúp đỡ
analysis;n. sự phân tích, kết quả phân tích
application;n. sự xin việc, ứng tuyển
apply;v. nộp, ứng tuyển
appreciate;v. đánh giá cao, cảm kích
assess;v. đánh giá, ước lượng 
assist;v. giúp đỡ, có mặt
available;adj. có sẵn, sẵn sàng
background;n. kiến thức, kinh nghiệm
benefit;n. lợi ích
blue-chip;adj. (Tài chính) đầu tư cổ phần chắc chắn
budget;n. ngân sách, ngân quỹ
campaign;n. chiến dịch
candidate;n. ứng cử viên, thí sinh, người dự tuyển
capable;adj. có tài, có năng lực giỏi
capital;n. thủ đô
certificate;n. giấy chứng nhận, chứng chỉ
chair;n. ghế tựa
challenge;n. thử thách
character;n. nhân vật
cheque;n. séc
chief executive officer;n. giám đốc điều hành
client;n. khách, khách hàng
collect;v. thu nhặt, sưu tập
commitment;n. sự tận tâm
compensation;n. sự, tiền đền bù, bồi thường (thiệt hại)
conduct;v. tiến hành, cư xử
confirm;v. xác nhận
consultant;n. người cố vấn
contact;v. tiếp xúc, liên hệ
contract;n. hợp đồng
contribute;v. đóng góp
contribution;n. sự đóng góp
cover;v. che, phủ, trùm, bọc, bao gồm
customer;n. khách hàng (người mua hàng hóa hoặc dịch vụ)
deal;n. sự giao dịch
degree;n. bằng cấp
deposit;n. tiền đặt cọc
designer;n. nhà thiết kế
determine;v. xác định, định rõ
develop;v. phát triển
direct;v. làm đạo diễn (phim, kịch..)
discuss;v. thảo luận, tranh luận (một vấn đề gì)
display;v. hiển thị, trình bày 
document;n. văn bản
duty;n. bổn phận, nhiệm vụ
employment;n. công việc làm
ensure;v. bảo đảm
enterprise;n. hãng, công ty, xí nghiệp
enthusiasm;n. lòng nhiệt tình
environment;n. môi trường
exchange;v. trao đổi
experience;n. kinh nghiệm
explain;v. giải thích
finance;n. tài chính
financial;adj. (thuộc) tài chính
firm;n. hãng, công ty
focus;n. lấy nét, tâm điểm
function;n. chức năng, nhiệm vụ
guide;n. hướng dẫn viên, sách hướng dẫn
handle;v. xử lí, giải quyết
honour;n. danh tiếng, danh dự
human resources;n. bộ phận nhân sự
improve;v. tốt lên
index;n. mục lục (Sách thư viện)
initiative;n. bước khởi đầu, sự khởi xướng
insurance;n. bảo hiểm
interest;n. sở thích
interview;n. cuộc phỏng vấn
job description;n. bản mô tả công việc
join;v. tham gia (hint :j...)
leadership;n. khả năng lãnh đạo, đức tính của người lãnh đạo
