accordance;n. theo như, đúng như
acute;adj. nghiêm trọng, nhức nhối (cơn đau)
address;v. nhằm vào, trình bày
adequate;adj. đầy đủ
adopt;v. chọn, áp dụng, chấp nhận và làm theo
affection;n. tình yêu thương
affluent;adj. giàu có
aggressive;adj. hay gây sự, hung hăng
allocate;v. cấp cho, phân phối
allot;v. phân công, giao (tiền bạc, thời gian, công việc,...)
alter;v. thay đổi, làm cho cái gì đó thay đổi
alternative;adj. xen kẽ, thay thế, luân phiên
amount;n. số lượng, khối lượng
angle;n. góc
anticipate;v. đoán trước, liệu trước
apparent;adj. rõ ràng
apparently;adv. hình như
appetite;n. sự ngon miệng, sự thèm ăn
appreciation;n. sự cảm kích
associate;n. cộng tác, đồng sự
attempt;v. cố gắng, thử
attitude;n. thái độ
attribute;n. đức tính, đặc tính
audit;v. kiểm toán
avail;n. không thành công
benefit;n. lợi ích
bias;n. thành kiến, thiên vị
boom;v. phất lên (công việc buôn bán...), phát đạt
boost;v. thúc đẩy
brilliant;adj. hay, ấn tượng
broad-minded;adj. có tư tưởng rộng rãi, khoáng đạt
capture;v. bắt, đoạt được, chiếm được
censor;v. kiểm duyệt
champion;n. nhà vô địch, quán quân
characterise;v. đặc trưng hóa
chronic;adj. kinh niên (y học), ăn sâu
circumstance;n. trường hợp, hoàn cảnh, tình huống
cite;v. trích dẫn
classify;v. phân loại
clause;n. điều khoản (trong văn bản pháp luật)
cliche;n. lời nói sáo rỗng, câu nói rập khuôn
coincide;v. trùng hợp
combat;n. trận đánh, trận chiến đấu
commit;v. gửi, giao, giao phó, ủy nhiệm, ủy thác
commodity;n. (Kinh tế) hàng hóa
compatible;adj. tương thích, hợp nhau 
complement;v. bổ sung
compromise;n. sự thoả hiệp
condemn;v. lên án, chỉ trích
consent;v. đồng ý, tán thành
consequent;adj. theo sau, hệ quả
conservative;adj. bảo thủ
consistent;adj. kiên định, nhất quán
constitute;v. cấu thành, tạo thành, thành lập
consult;v. tham khảo, hỏi ý kiến, quan tâm
contemporary;adj. cùng thời, đương thời
contradict;v. mâu thuẫn với, trái với
contrary;adj. khác với, ngược với
controversial;adj. có thể gây ra tranh luận, có thể bàn cãi được (vấn đề...)
controversy;n. tranh cãi, tranh luận
convey;v. chuyển tải, thể hiện (ý tưởng, cảm xúc đến ai)
correspondence;n. sự tương ứng, sự phù hợp
corresponding;adj. tương ứng với
corrupt;adj. tham nhũng
critical;adj. chỉ trích, chê bai
crucial;adj. cốt yếu, chủ yếu, có tính quyết định
dedication;n. ‹sự› cống hiến, hiến dâng, tận tâm, tận tụy
demanding;adj. khó khăn, đòi hỏi khắt khe
demeanour;n. cách xử sự, cử chỉ, thái độ
demographic;n. nhân khẩu (học)
depict;v. mô tả, phản ánh
deprive;v. lấy đi, tước đoạt
desert;n. sa mạc
deter;v. ngăn cản, cản trở
determination;n. sự quyết tâm
devote;v. dâng, dành hết cho
