abstract;n. bài tóm lược (cuốn sách, luận án, bài diễn văn...)
access;n. quyền truy cập, sự tiếp cận 
accommodate;v. cho trọ, cung cấp chỗ ở
accuracy;n. sự chính xác
accused;n. bị cáo
acquire;v. đạt được, thu được
acute;adj. nghiêm trọng, nhức nhối (cơn đau)
address;v. nhằm vào, trình bày
adequate;adj. đầy đủ
adopt;v. chọn, áp dụng, chấp nhận và làm theo
affect;v. ảnh hưởng
ageing;n. sự lão hóa
alternative;adj. xen kẽ, thay thế, luân phiên
analyse;v. phân tích
appreciate;v. đánh giá cao, cảm kích
appropriate;adj. thích hợp, thích đáng
artificial;adj. nhân tạo
aspect;n. khía cạnh
assess;v. đánh giá, ước lượng 
asset;n. tài sản, của cải
assignment;n. bài tập
assist;v. giúp đỡ, có mặt
atmosphere;n. không khí
attitude;n. thái độ
automatic;adj. tự động
balance;v. quyết toán
ban;n. luật cấm
barrier;n. rào cản, chướng ngại vật
beneficial;adj. có ích, có lợi (hint :b...)
benefit;n,. lợi ích
bias;n. thành kiến, thiên vị
boom;v. phất lên (công việc buôn bán...), phát đạt
bound;adj. chắc chắn hoặc có khả năng (xảy ra, thực hiện...)
brand;n. nhãn hiệu, nhãn hàng, chi nhánh
budget;n. ngân sách, ngân quỹ
burden;n. gánh nặng
casual;adj. bình thường, thường ngày
casualty;n. nạn nhân, thương vong (chiến tranh, tai nạn)
challenge;n. thử thách
chronic;adj. kinh niên (y học), ăn sâu
cognitive;adj. liên quan đến nhận thức
communicate;v. giao tiếp
compete;v. đua tài, cạnh tranh
competitive;adj. tính cạnh tranh, đua tranh
complicated;adj. phức tạp, rắc rối
compound;n. hợp chất
compromise;n,v. sự thoả hiệp
concept;n. khái niệm
conclude;v. kết luận, quyết định
concrete;adj. cụ thể
conduct;v. tiến hành, cư xử
connection;n. sự kết nối
consistent;adj. kiên định, nhất quán
construct;v. xây dựng
contribute;v. đóng góp
controversial;adj. có thể gây ra tranh luận, có thể bàn cãi được (vấn đề...)
convert;v. chuyển đổi
cope;v. đối phó, đương đầu thành công (với một điều gì đó khó khăn)
correspondence;n. sự tương ứng, sự phù hợp
