I get up;Tớ thức dậy
I'm yawning;Tớ đang ngáp
I'm sleepy;Tớ đang buồn ngủ
I wash my face;Tớ rửa mặt
The water is cold;Nước rất lạnh
I can't open my eyes;Tớ không thể mở mắt
I drink some milk;Tớ uống 1 chút sữa
I like milk;Tớ thích sữa
I eat toast;Tớ ăn bánh mì nướng
I wipe my mouth;Tớ lau miệng
The toast and the milk are good;Bánh mì nướng và sữa rất ngon
I'm getting full;Tớ no rồi
I take off my pajamas;Tớ cởi quần áo ngủ
I finish my breakfast;Tớ đã ăn sáng xong
What shall I wear?;Tớ nên mặc gì đây?
I put on my clothes;Tớ mặc quần áo
I wear my underpants;Tớ mặc quần chíp
I can't see anything now;Lúc này tớ không thể nhìn thấy gì cả
I put on my pink blouse;Tớ mặc chiếc áo hồng
I button up my blouse;Tớ cài cúc áo
This blouse has three buttons;Chiếc áo này có 3 cái cúc
I put on my green skirt;Tớ mặc chiếc váy xanh lá cây
This is my favorite skirt;Đây là chiếc váy tớ thích
Do I look pretty?;Trông tớ có xinh không?
I look at some pretty flowers;Tớ ngắm một vài bông hoa đẹp
I pour some misosoup over rice;Tớ chan súp miso (canh tương) lên cơm
Mommy doesn't like me to do so;Mẹ không thích tớ làm như vậy
I spill my miso soup;Tớ làm súp tràn ra ngoài
They smell good;Chúng rất thơm
Mommy takes care of these flowers;Mẹ chăm sóc những bông hoa này
I walk;Tớ đi bộ
 I walk to school;Tớ đi bộ đến trường
I wear my green shoes;Tớ đi đôi giầy màu xanh lá
I water the flowers;Tớ tưới hoa
Tulips are colorful;Hoa tuy-lip rất sặc sỡ
I use my watering can;Tớ dùng bình tưới hoa của mình
I water the garden;Tớ tưới nước cho khu vườn
I fill my watering can;Tớ lấy đầy nước vào bình
It's hot today;Hôm nay trời nóng
I swim in the ocean;Tớ bơi ở biển
I wear my swimsuit and bathing cap;Tớ mặc bộ đồ bơi và mũ tắm
I can swim very well;Tớ có thể bơi rất tốt
I eat ice cream;Tớ ăn kem
I'm hot;Tớ thấy nóng
I'm sweating;Tớ đang đổ mồ hôi
I turn on the water;Tớ mở nước
I run the water;Tớ cho nước chảy
I look at the water running;Tớ nhìn nước chảy
I turn off the water;Tớ khóa nước lại
I save water;Tớ tiết kiệm nước
Water is important;Nước rất quan trọng
I put some soap in the washing machine;Tớ đổ một chút xà phòng vào máy giặt
I put in too much soap;Tớ lỡ đổ quá nhiều xà phòng
I do the laundry;Tớ giặt đồ
I put in dirty clothes;Tớ cho quần áo bẩn vào
There are so many dirty clothes;Có rất nhiều quần áo bẩn
I shouldn't put in many clothes;Tớ không nên cho quá nhiều quần áo vào máy giặt
I turn on the switch;Tớ bật công tắc
The washing machine starts working;Máy giặt bắt đầu hoạt động
It's noisy;Nó rất ồn
I wash the clothes with soap;Tớ giặt quần áo với xà phòng
I wash some clothes by myself;Tớ tự giặt một ít quần áo
I make a lather;Tớ tạo ra bọt xà phòng
I rinse the clothes;Tớ giũ quần áo
They are getting clean;Quần áo sạch hơn rồi
I have to wring the water out of them;Tớ phải vắt kiệt nước khỏi quần áo
I talk with Mommy;Tớ nói chuyện với mẹ
I carry the washing basket;Tớ xách chiếc giỏ đựng quần áo
I help Mommy;Tớ giúp đỡ mẹ
I hang the washing out;Tớ phơi quần áo
I'm standing on the stool;Tớ đứng trên chiếc ghế đẩu
I put clothes pins on the clothes;Tớ kẹp những chiếc ghim vào quần áo
I smooth it down;Tớ kéo phẳng quần áo
It will remove the wrinkles; Nó sẽ làm các vết nhàu biến mất
I'm standing on tiptoes;Tớ đang đứng trên mũi chân của mình
I hand a ladle to Mommy;Tớ đưa cho mẹ một cái muỗng canh
I help Mommy to cook;Tớ giúp mẹ nấu ăn
We make lunch together;Hai mẹ con tớ cùng nhau nấu bữa trưa
I make noodles;Tớ nấu mì
I make the dough thinner;Tớ làm cho bột mỏng hơn
I use the rolling pin;Tớ dùng  cây lăn bột
I leave the table;Tớ rời khỏi bàn
I finish setting the table;Tớ đã sắp xếp bàn ăn xong
Lunch is ready;Bữa trưa đã sẵn sàng
I finish my bowl;Tớ đã ăn xong phần của mình
It's very tasty;Nó rất ngon
I like noodles;Tớ thích ăn mì
I take a nap;Tớ nghỉ trưa
My cat takes a nap too;Mèo của tớ cũng nghỉ trưa
I put a blanket on my tummy;Tớ đắp chăn lên bụng của mình
I go into my room;Tớ đi vào phòng mình
I open the door;Tớ mở cửa
I have a soccer ball in my room;Tớ có 1 quả bóng đá trong phòng của mình
I change my shirt;Tớ thay áo
It's a purple shirt with black stripes;Đó là một chiếc áo tím kẻ sọc
I feel nice with the clean shirt;Tớ cảm thấy dễ chịu với chiếc áo sạch sẽ
I play with water;Tớ nghịch nước
There is a yatch and a ship in my basin;Có một chiếc thuyền và một chiếc tàu ở trong bồn nước của tớ
It's fun to play with a water pistol;Thật thú vị khi chơi với một khẩu súng nước
I watch out for cars;Tớ để ý những chiếc xe hơi
I hold a yellow flag in my left hand;Tớ cầm một lá cờ màu vàng ở tay trái
I look both ways very carefully;Tớ nhìn cẩn thận cả hai bên đường
I bite my friend;Tớ cắn bạn tớ
My friend looks surprised;Bạn tớ có vẻ rất sửng sốt
Sometimes we fight with each other;Đôi khi chúng tớ còn cãi lộn với nhau
I hold his hand;Tớ cầm tay cậu ấy
I like him;Tớ quý cậu ấy
We're good friends;Chúng tớ là bạn tốt của nhau
I show him my goldfish;Tớ cho cậu ấy xem con cá vàng
It's red;Nó màu đỏ nữa
The goldfish swims slowly;Con cá vàng bơi chầm chậm
I take off my shoes;Tớ bỏ giầy
I don't wear socks;Tớ không đi tất
I walk barefoot;Tớ đi chân trần
I ride my bicycle;Tớ đi xe đạp
I can ride it very well;Tớ có thể đi xe đạp rất tốt
Cool air feels nice;Không khí mát mẻ thật dễ chịu
I take a picture;Tớ chụp 1 bức ảnh
My dog poses for a picture;Con chó của tớ tạo dáng
He wears a red tie;Nó đeo một cái nơ đỏ
I color the apple red;Tớ tô quả táo màu đỏ
I color the banana yellow;Tớ tô quả chuối màu vàng
I have many crayons;Tớ có rất nhiều bút màu
I prepare the dinner;Tớ chuẩn bị bữa tối
The pot is on the stove;Cái nồi ở trên bếp ga
I wonder if I can cook it well;Tớ đang tự hỏi liệu mình có thể nấu ăn ngon không
I make a house with blocks;Tớ xếp một ngôi nhà với các khối hình
Those blocks are colorful;Những khối hình này rất nhiều màu sắc
It's easy to pile them up;Rất dễ để xếp chúng thành chồng
I play in the kitchen;Tớ chơi trong nhà bếp
I put my doll on the chair;Tớ để búp bê lên ghế
The dinning table is covered with my favorite table cloth;Bàn ăn được phủ bằng một tấm vải bàn mà tớ rất thích
I put the peas into a jar;Tớ cho hạt đậu vào trong lọ
It's difficult to put them in it;Rất khó để bỏ các hạt đậu vào lọ
I spill some of them;Tớ đã làm rơi một vài hạt ra ngoài
I pick up some beans;Tớ nhặt một vài hạt đậu lên
