April;n. tháng Tư
August;n. tháng Tám
December;n. tháng Mười Hai
February;n. tháng 2
Friday;n. thứ Sáu
January;n. tháng Một
July;n. tháng Bảy
June;n. tháng Sáu
March;n. tháng Ba
Monday;n. thứ Hai
November;n. tháng Mười Một
October;n. tháng Mười
Saturday;n. thứ Bảy
September;n. tháng Chín
Sunday;n. Chủ nhật
Thursday;n. thứ Năm
Tuesday;n. thứ Ba
Wednesday;n. thứ Tư
actor;n. diễn viên nam
actress;n. diễn viên nữ
afternoon;n. chiều
apple;n. táo
arm;n. cánh tay
artist;n. nghệ sĩ
aunt;n. cô, dì, bác gái
autumn;n. mùa thu (hint :a...)
baby;n. bé
bad;adj. xấu, dở
bag;n. túi, bao
ball;n. trái banh
basket;n. rổ
bath;n. bồn tắm
bathroom;n. phòng tắm
bed;n. giường
bedroom;n. phòng ngủ
beef;n. thịt bò
beer;n. bia
bell;n. cái chuông
bicycle;n. xe đạp (hint :b...)
big;adj. to, lớn
bike;n. xe đạp (hint :b...)
bird;n. chim
black;adj. đen
blue;adj. xanh da trời
boat;n. con tàu, con thuyền
body;n. cơ thể, thân thể
book;n. sách, quyển sách
bottle;n. chai
box;n. hộp
boy;n. cậu con trai
bread;n. bánh mì
breakfast;n. bữa ăn sáng, điểm tâm
brother;n. anh/em trai
brown;adj. nâu
cake;n. bánh ngọt
camera;n. máy ảnh, máy quay phim
candy;n. kẹo
car;n. xe ô tô
carrot;n. cà rốt
cat;n. mèo, con mèo
chair;n. ghế tựa
chicken;n. gà, thịt gà
child;sing. n. đứa trẻ
cinema;n. rạp chiếu phim
class;n. lớp học
classroom;n. phòng học
clock;n. đồng hồ treo tường
coat;n. áo choàng
coffee;n. cà phê
computer;n. máy vi tính
copy;v. sao chép
cow;n. bò cái
cup;n. tách
dad;n. bố, cha
daughter;n. con gái (hint :d...)
day;n. ngày, thời gian 24 giờ
dentist;n. nha sĩ
desk;n. bàn làm việc
dinner;n. bữa tối
doctor;n. bác sỹ
dog;n. con chó
door;n. cửa ra vào
dress;n. đầm, váy dài
ear;n. tai
eat;v. ăn
egg;n. trứng
engineer;n. kỹ sư
evening;n. buổi tối
eye;n. mắt
face;n. khuôn mặt
family;n. gia đình
farmer;n. nông dân
father;n. bố, ba, cha,...
finger;n. ngón tay
fish;n. cá
flower;n. hoa, bông hoa
food;n. thức ăn, lương thực
foot;sing. n. chân, bàn chân
football;n. môn bóng đá
friend;n. bạn
fruit;n. trái cây
game;n. trò chơi
girl;n. con gái (hint :g...)
grandparent;n. ông, bà
grass;n. cỏ
green;adj. xanh lá cây
hand;n. bàn tay
hat;n. mũ
head;n. đầu
homework;n. bài tập về nhà
horse;v. ngựa
house;n. ngôi nhà
jacket;n. áo khoác (ngắn, nhẹ)
juice;n. nước ép
kid;n. con dê con, đứa trẻ
king;n. vua
kitchen;n. phòng bếp
lake;n. hồ
lamp;n. đèn
leg;n. chân
lemon;n. chanh vàng
lunch;n. bữa trưa
market;n. thị trường, chợ, nơi mua bán sản phẩm...
meat;n. thịt
milk;n. sữa
moon;n. mặt trăng
morning;n. sáng
mother;n. mẹ, má
motorbike;n. xe máy, xe mô- tô
mouse;n. con chuột (máy tính)
mouth;n. miệng
musician;n. nhạc sĩ, nhà soạn nhạc
name;n. tên
night;n. đêm
nose;n. mũi
nurse;n. y tá
orange;adj. cam
pants;n. quần
parent;n. cha, mẹ
pen;n. bút mực
pencil;n. bút chì
pig;n. lợn
pilot;n. phi công
pink;n. màu hồng
police;n. công an, cảnh sát
potato;n. khoai tây
prince;n. hoàng tử
princess;n. công chúa
pupil;n. học sinh
purple;adj. màu tía
queen;n. nữ hoàng
red;adj. đỏ
rice;n. lúa, gạo, cơm
ring;n. sàn đấu (boxing)
room;n. phòng
ruler;n. thước kẻ
school;n. trường học
shelf;n. giá sách
shirt;n. áo sơ mi
shoe;n. giày
shoulder;n. vai
shower;n. vòi sen
singer;n. ca sĩ
sister;n. chị gái, em gái
skirt;n. váy, chân váy
sky;n. trời
snake;n. con rắn
soap;n. xà phòng, xà bông
son;n. con trai
song;n. bài hát
soup;n. xúp
spider;spider. con nhện
spring;n. mùa xuân
stamp;n. tem
star;n. ngôi sao
student;n. học sinh, sinh viên
sugar;n. đường
summer;n. mùa hè
sun;n. mặt trời
supermarket;n. siêu thị
sweater;n. áo len
table;n. bàn, cái bàn
tea;n. trà
teacher;n. giáo viên
television;n. truyền hình, TV, máy thu hình
thank;v. cảm ơn
tomato;n. cà chua
tooth;n. răng
tree;n. cây
umbrella;n. ô, dù
uncle;n. chú, cậu, bác trai
waiter;n. phục vụ nam
watch;v. xem
water;n. nước
white;adj. trắng
wife;n. vợ
window;n. cửa sổ
winter;n. mùa đông
year;n. năm
yellow;adj. vàng (hint :y...)
accountant;n. Kế toán viên
air;n. không khí
airport;n. sân bay
apartment;n. căn hộ
band;n. ban nhạc
bank;n. ngân hàng
basic;adj. nền tảng, cơ sở
beach;n. bãi biển
birthday;n. sinh nhật
bone;n. xương
bridge;n. cầu
building;n. tòa nhà, tòa cao ốc
businessman;n. doanh nhân, thương gia
busy;adj. bận rộn
camping;n. sự cắm trại
chairman;n. người điều khiển một cuộc họp, chủ toạ
cheap;adj. rẻ, rẻ tiền
check;v. kiểm tra
cheque;n. séc
church;n. nhà thờ
city;n. thành phố
cloud;n. mây, đám mây
club;n. câu lạc bộ
cold;n. sự cảm lạnh
colour;n. màu sắc
cook;n. đầu bếp
cousin;n. anh, chị, em họ
diamond;n. kim cương
dictionary;n. từ điển
director;n. giám đốc (hint :d...)
drugstore;n. hiệu thuốc tây
early;adv. sớm (hint :e...)
east;n. phía đông
easy;adj. dễ
end;n. sự kết thúc
enter;v. đến, đi vào
example;n. thí dụ
exit;n. lối ra
factory;n. nhà máy, xí nghiệp
fan;n. người hâm mộ
far;adv. xa
fast;adj. nhanh
fat;adj. béo, mập
field;n. cánh đồng
fire;n. lửa
first;ordinal no. thứ nhất, đầu tiên
fix;v. lắp, sửa chữa
flat;adj. phẳng
floor;n. tầng, lầu
forest;n. rừng
forever;adv. mãi mãi, vĩnh viễn
free;adj. rảnh rỗi
full;adj. đầy đặn, dày
garden;n. khu vườn
gas;n. hơi, khí đốt thiên nhiên
gold;adj. vàng (hint :g...)
good;adj. tốt
group;n. nhóm
hairdresser;n. thợ cắt tóc
happy;adj. hạnh phúc, vui vẻ
headache;n. đau đầu
heart;n. tim
high;adj. cao (hint :h...)
hospital;n. bệnh viện
hot;adj. nóng
hotel;n. khách sạn
hour;n. giờ, tiếng đồng hồ
hundred;number. một trăm (100)
hungry;adj. đói bụng
husband;n. chồng
ice;n. nước đá
ink;n. mực
job;n. công việc, nghề nghiệp
journalist;n. nhà báo
key;adj. chìa khóa
knife;n. dao
land;n. đất
late;adj. muộn, trễ
lawyer;n. luật sư
lazy;adj. lười biếng
lesson;n. bài học, bài giảng
letter;n. lá thư
library;library. thư viện
long;adj. dài
magazine;n. tạp chí
mail;v. gửi thư
man;n. đàn ông
map;n. bản đồ
medal;n. huy chương
member;n. thành viên
minute;n. phút
mirror;n. gương
money;n. tiền
month;n. tháng
mountain;n. núi
movie;n. phim, điện ảnh
museum;n. viện bảo tàng
music;n. âm nhạc
nation;n. quốc gia, đất nước
neighbour;n. hàng xóm
never;adv. chưa bao giờ
new;adj. mới
newspaper;n. nhật báo
nice;adj. vui, vui vẻ
north;n. bắc
number;n. số
ocean;n. đại dương, biển
office;n. văn phòng
oil;n. dầu, dầu mỏ
old;adj. già
outside;adv. bên ngoài
page;n. trang
paper;n. giấy
park;n. công viên
party;n. đảng, phái, nhóm
people;n. người, nhiều người, nhân dân
person;n. người (một người)
photo;n. ảnh chụp, bức ảnh (viết tắt của photograph)
photographer;n. nhà nhiếp ảnh
picture;n. bức tranh
plane;n. máy bay
plant;n. thực vật, cây
plate;n. cái đĩa
poor;adj. nghèo, bần cùng
pretty;adv. khá
print;v. in ấn
question;n. câu hỏi
quick;adj. nhanh chóng
quit;v. nghỉ, bỏ (học, làm việc...)
railway;n. đường sắt, đường xe lửa
rain;n. mưa
restaurant;n. nhà hàng, tiệm ăn
rich;adj. giàu
river;n. sông
road;n. con đường
sad;adj. buồn
safe;adj. an toàn
scientist;n. nhà khoa học
sea;n. biển
season;n. mùa
secretary;n. thư kí
ship;v. vận chuyển
shopping;n. mua sắm
short;adj. thấp, ngắn
sick;adj. ốm yếu, ốm đau
silver;adj. bạc
skin;n. da, làn da
slow;adj. chậm
small;adj. nhỏ, bé
soft;adj. mềm
software;n. phần mềm, chương trình máy tính
south;adv. phía nam
sport;n. môn thể thao
store;n. cửa hàng
story;n. câu chuyện
street;n. đường phố
strong;adj. khỏe, mạnh, tốt, bền, kiên cố, đanh thép, kiên quyết, sôi nổi, nhiệt tình...
subject;n. môn học
suit;v. phù hợp với, thích hợp với
suitcase;n. va li
surname;n. họ
sweet;n. ngọt
tall;adj. cao (hint :t...)
team;n. đội
test;v. kiểm tra, thử nghiệm
text;n. văn bản, nội dung
theatre;n. nhà hát
thick;adj. dày
thin;adj. gầy, mỏng
thirsty;adj. khát
ticket;n. vé
time;n. thời gian
timetable;n. thời khóa biểu
tired;adj. mệt
today;n. hôm nay
town;n. phố, thị trấn
train;n. tàu hỏa
truck;n. xe tải
underwear;n. quần áo lót
university;n. đại học (hint :u...)
vegetable;n. rau quả
village;n. làng
visitor;n. khách đến thăm
volume;n. âm lượng, lượng, khối lượng
walk;v. đi bộ
wallet;n. ví (thường dùng cho nam giới)
war;n. chiến tranh
warm;adj. ấm, ấm áp
wedding;n. lễ cưới
week;n. tuần lễ
weekend;n. ngày cuối tuần
west;n. phía Tây
wind;n. gió
wine;n. rượu
winner;n. người thắng cuộc
woman;n. phụ nữ
word;n. chữ, lời nói, lời (nhận xét, tuyên bố..)
writer;n. nhà văn
yesterday;adv. ngày hôm qua
young;adj. trẻ
adult;n. người lớn, người đã trưởng thành
age;n. tuổi
ago;adv. trước đây, trước (thì quá khứ đơn)
agree;v. đồng ý, bằng lòng
angry;adj. giận dữ
animal;n. động vật, con vật
answer;v. trả lời
area;n. khu vực
art;n. mỹ thuật
ask;v. hỏi
author;n. tác giả
awful;adj. tồi tệ, kinh khủng
balloon;n. khinh khí cầu, bóng bay
battery;n. ắc quy, pin
beard;n. râu quai nón
become;v. trở nên, trở thành
bill;n. hóa đơn
biology;n. môn sinh học
blood;n. máu
blow;v. thổi
boss;n. chủ
bring;v. mang
brush;v. đánh, chải (răng)
build;v. xây dựng
bulb;n. bóng đèn
button;n. nút (áo quần)
buy;v. mua
cancel;v. hủy bỏ
capital;n. thủ đô
carry;v. mang, vác, chở, ẳm
cash;n. tiền mặt
centre;n. trung tâm
change;v. thay đổi
cigarette;n. thuốc lá
clean;v. lau chùi
clear;v. dọn, dọn dẹp
client;n. khách, khách hàng
climb;v. leo trèo
close;v. đóng lại
clothes;n. trang phục
coast;n. bờ biển
collect;v. thu nhặt, sưu tập
college;n. đại học (hint :c...)
comb;v. chải tóc
come;v. đến, tới
comment;n. lời phê bình, lời nhận xét
company;n. công ty
connect;v. Kết nối
contain;v. chứa, bao gồm
contest;n. cuộc thi
control;v. điều khiển, chỉ đạo
cough;v. ho
country;n. đất nước, quốc gia, miền quê, nông thôn
countryside;n. nông thôn
court;n. tòa án
cry;v. kêu, la, hét
cut;v. đốn, cắt, chặt
dance;v. nhảy, khiêu vũ
dark;adj. tối
deep;adj. sâu
design;n. kiểu dáng, thiết kế
diary;n. nhật ký
die;v. chết, qua đời
dirty;adj. bẩn, bẩn thỉu, dơ bẩn
discount;v. giảm, bớt, giảm giá, chiết khấu, khấu trừ
dish;n. món ăn
document;n. văn bản
drama;n. kịch, phim nhiều tập
draw;v. vẽ
dream;n. mơ
drink;n. thức uống
drive;v. lái xe (ô tô)
dry;adj. khô
earth;n. thế giới, trái đất
elevator;n. thang máy
essay;n. bài tiểu luận
event;n. sự kiện
examination;n. kỳ thi
expensive;adj. đắt
false;adj. giả, sai
fashion;adj. thời trang, mốt
feel;v. cảm thấy
file;v. sắp xếp, sắp đặt
