abrasive;adj. thô lỗ, cay nghiệt
absolute;adj. hoàn toàn, tuyệt đối
abstract;n. bài tóm lược (cuốn sách, luận án, bài diễn văn...)
acclaim;v. ca ngợi, tán dương
acute;adj. nghiêm trọng, nhức nhối (cơn đau)
adamant;adj. cứng rắn, cương quyết
address;v. nhằm vào, trình bày
adept;adj. tinh thông, giỏi làm điều gì khó
adherent;n. đảng viên, người ủng hộ, đi theo một đảng chính trị hay hệ tư tưởng
adversely;adv. xấu, tiêu cực
advocate;v. chủ trương, tán thành
aesthetic;adj. (thuộc) mỹ học, thẩm mỹ
affinity;n. sự đồng cảm, sự thu hút, sự ham thích
alleviate;v. giảm bớt, xoa dịu
allusion;n. sự ám chỉ
aloof;adj. không thân thiện, lạnh nhạt, xa lánh
ambiguous;adj. đa nghĩa, mơ hồ
ambivalent;adj. vừa yêu, vừa ghét (cái gì), (cảm xúc) lẫn lộn
amiable;adj. dễ thương, thân thiện
analogous;adj. tương tự, giống nhau
analogy;n. sự so sánh những đặc điểm tương tự, sự tương tự, sự giống nhau
anarchy;n. sự hỗn loạn, tình trạng vô chính phủ, vô tổ chức
anecdote;n. giai thoại (về người thực, sự kiện)
anguish;n. sự đau đớn, sự đau khổ
animosity;n. sự thù oán, hận thù
anomaly;n. sự không bình thường, dị thường
antecedent;n. tiền đề
apathy;n. sự lãnh đạm, thờ ơ
appreciate;v. đánh giá cao, cảm kích
apprehension;n. sự e sợ (điều không hay có thể xảy ra)
apprehensive;adj. sợ hãi, e sợ, hiểu rõ, cảm thấy rõ, tiếp thu nhanh
arable;adj. liên quan đến trồng trọt
arbitrary;adj. chuyên quyền, độc đoán
archaic;adj. cổ xưa và không còn sử dụng nữa
arduous;adj. khó khăn, gian khổ
articulate;v. diễn đạt suy nghĩ, cảm xúc một cách rõ ràng bằng lời
artisan;n. thợ thủ công
astute;adj. sắc sảo, nhạy bén
austere;adj. khắt khe, nghiêm khắc (về bề ngoài và hành vi)
austerity;n. sự thắt lưng buộc bụng (nghĩa bóng
autonomous;adj. tự trị
autonomy;n. sự, quyền tự trị
beleaguered;adj. bị bao vây bởi kẻ thù
benefactor;n. nhà hảo tâm, người làm việc thiện
benevolent;adj. nhân từ, tốt bụng, rộng lượng
benign;adj. tốt, nhân từ
blatant;adj. trắng trợn (hint :b...)
bolster;v. cải thiện, đẩy mạnh
bourgeois;adj. thuộc tầng lớp trung lưu
bureaucracy;n. sự quan liêu, thói quan liêu
buttress;v. ủng hộ, làm vững chắc thêm điều gì
caricature;n. tranh biếm hoạ
cerebral;adj. liên quan đến lí trí (hơn là cảm xúc)
chronicle;n. sử biên niên, ký sự niên đại
circumscribe;v. giới hạn, hạn chế (sự tự do, quyền,...)
civil;adj. (thuộc) công dân
coercion;n. sự ép buộc, sự áp bức
coherent;adj. mạch lạc, chặt chẽ
collusion;n. sự câu kết, sự thông đồng
compelling;adj. thôi thúc, rất mạnh mẽ (khiến bạn phải làm điều gì đó)
complacent;adj. tự mãn
comprehensive;adj. bao hàm, toàn diện
concede;v. thừa nhận (điều gì là đúng, hợp lí...)
concise;adj. ngắn gọn, súc tích
congenital;adj. bẩm sinh (hint :c...)
conjecture;n. sự phỏng đoán, sự ước đoán
consensus;n. sự đồng thuận, nhất trí
conspicuous;adj. dễ thấy hoặc chú ý, nổi bật
contemporary;adj. cùng thời, đương thời
contentious;adj. có thể gây ra bất đồng
conventional;adj. thông thường, bình thường
corollary;n. hệ quả tất yếu
cosmopolitan;adj. (mang tính) quốc tế
